Type|X1 Location|Y1 Location|X2 Location|Y2 Location|Net Name|Layer Number|Length|Width
Trace|34.5727|-3.1750|31.4899|-3.1750|31502|L11-SIG2|3.082800|0.1181
Trace|35.8140|-1.9337|34.5727|-3.1750|31502|L11-SIG2|1.755463|0.1181
Trace|35.8140|1.9050|35.8140|-1.9337|31502|L11-SIG2|3.838700|0.1181
Trace|37.2272|3.3182|35.8140|1.9050|31502|L11-SIG2|1.998567|0.1181
Trace|37.2272|4.2072|37.2272|3.3182|31502|L11-SIG2|0.889000|0.1181
Trace|49.9110|16.8910|37.2272|4.2072|31502|L11-SIG2|17.937602|0.1181
Trace|49.9110|98.4948|49.9110|16.8910|31502|L11-SIG2|81.603800|0.1181
Trace|58.9280|107.5118|49.9110|98.4948|31502|L11-SIG2|12.751964|0.1181
Trace|58.9280|162.0520|58.9280|107.5118|31502|L11-SIG2|54.540200|0.1181
Trace|54.6100|166.3700|58.9280|162.0520|31502|L11-SIG2|6.106574|0.1181
Trace|30.9987|-0.7986|30.8000|-0.5999|31504|L11-SIG2|0.281004|0.0737
Trace|30.9987|-1.3149|30.9987|-0.7986|31504|L11-SIG2|0.516300|0.0737
Trace|30.9987|-1.9157|30.9987|-1.3149|31504|L11-SIG2|0.600800|0.1181
Trace|31.4960|-2.4130|30.9987|-1.9157|31504|L11-SIG2|0.703288|0.1181
Trace|33.0200|-2.4130|31.4960|-2.4130|31504|L11-SIG2|1.524000|0.1181
Trace|34.5440|-0.8890|33.0200|-2.4130|31504|L11-SIG2|2.155261|0.1181
Trace|34.5440|2.2860|34.5440|-0.8890|31504|L11-SIG2|3.175000|0.1181
Trace|35.9969|3.7389|34.5440|2.2860|31504|L11-SIG2|2.054711|0.1181
Trace|35.9969|4.3135|35.9969|3.7389|31504|L11-SIG2|0.574600|0.1181
Trace|37.3380|5.6545|35.9969|4.3135|31504|L11-SIG2|1.896531|0.1181
Trace|37.3380|6.9662|37.3380|5.6545|31504|L11-SIG2|1.311700|0.1181
Trace|48.2453|17.8735|37.3380|6.9662|31504|L11-SIG2|15.425252|0.1181
Trace|48.2453|101.2523|48.2453|17.8735|31504|L11-SIG2|83.378800|0.1181
Trace|55.8800|108.8870|48.2453|101.2523|31504|L11-SIG2|10.797096|0.1181
Trace|51.4350|162.5600|55.3720|162.5600|31504|L11-SIG2|3.937000|0.1181
Trace|50.9270|163.0680|51.4350|162.5600|31504|L11-SIG2|0.718420|0.1181
Trace|50.9270|164.9730|50.9270|163.0680|31504|L11-SIG2|1.905000|0.1181
Trace|49.5300|166.3700|50.9270|164.9730|31504|L11-SIG2|1.975656|0.1181
Trace|55.8800|162.0520|55.8800|108.8870|31504|L11-SIG2|53.165000|0.1181
Trace|55.3720|162.5600|55.8800|162.0520|31504|L11-SIG2|0.718420|0.1181
Trace|-0.8514|54.2239|7.6185|45.7540|31512|L11-SIG2|11.978247|0.1181
Trace|-0.8514|145.8336|-0.8514|54.2239|31512|L11-SIG2|91.609700|0.1181
Trace|18.4150|165.1000|-0.8514|145.8336|31512|L11-SIG2|27.246804|0.1181
Trace|7.6185|17.2735|18.4150|6.4770|31512|L11-SIG2|15.268557|0.1181
Trace|7.6185|45.7540|7.6185|17.2735|31512|L11-SIG2|28.480500|0.1181
Trace|22.9435|-4.1476|27.8962|-4.1476|31512|L11-SIG2|4.952700|0.1181
Trace|18.4150|0.3810|22.9435|-4.1476|31512|L11-SIG2|6.404337|0.1181
Trace|18.4150|6.4770|18.4150|0.3810|31512|L11-SIG2|6.096000|0.1181
Trace|27.9400|165.1000|18.4150|165.1000|31512|L11-SIG2|9.525000|0.1181
Trace|29.3987|-0.8012|29.6000|-0.5999|31512|L11-SIG2|0.284681|0.0737
Trace|29.3987|-1.3149|29.3987|-0.8012|31512|L11-SIG2|0.513700|0.0737
Trace|29.3987|-2.6450|29.3987|-1.3149|31512|L11-SIG2|1.330100|0.1181
Trace|27.8962|-4.1476|29.3987|-2.6450|31512|L11-SIG2|2.124927|0.1181
Trace|29.2100|166.3700|27.9400|165.1000|31512|L11-SIG2|1.796051|0.1181
Trace|29.0013|0.7988|29.2000|0.6001|51510|L11-SIG2|0.281004|0.0737
Trace|29.0013|1.3151|29.0013|0.7988|51510|L11-SIG2|0.516300|0.0737
Trace|29.0013|1.9868|29.0013|1.3151|51510|L11-SIG2|0.671700|0.1181
